"Data","Estrangeiro","Institucional","Pessoa física","Inst. Financeira","Outros"
"08/12/2025","666,87 mi","-1.411,15 mi","473,06 mi","239,64 mi","31,57 mi"
"05/12/2025","-2.018,74 mi","637,54 mi","1.121,05 mi","80,47 mi","179,67 mi"
"04/12/2025","149,97 mi","39,37 mi","-361,18 mi","90,63 mi","81,20 mi"
"03/12/2025","-171,96 mi","388,46 mi","-77,52 mi","50,94 mi","-189,92 mi"
"02/12/2025","388,22 mi","-247,45 mi","-358,35 mi","196,10 mi","21,48 mi"
"01/12/2025","-76,92 mi","-915,74 mi","125,10 mi","747,88 mi","119,69 mi"
"28/11/2025","-495,67 mi","-826,83 mi","42,28 mi","1.109,63 mi","170,58 mi"
"27/11/2025","-279,40 mi","192,45 mi","150,68 mi","-30,94 mi","-32,79 mi"
"26/11/2025","-76,23 mi","445,13 mi","-478,90 mi","81,47 mi","28,52 mi"
"25/11/2025","-516,46 mi","358,48 mi","59,80 mi","40,49 mi","57,69 mi"
"24/11/2025","-750,69 mi","386,58 mi","339,33 mi","-20,78 mi","45,56 mi"
"21/11/2025","-3.158,55 mi","2.938,72 mi","-734,43 mi","904,71 mi","49,56 mi"
"19/11/2025","1.354,63 mi","-1.631,13 mi","116,05 mi","83,74 mi","76,72 mi"
"18/11/2025","1.234,94 mi","-1.619,98 mi","-5,22 mi","293,23 mi","97,04 mi"
"17/11/2025","715,13 mi","-1.039,33 mi","79,26 mi","137,44 mi","107,51 mi"
"14/11/2025","1.434,19 mi","-1.009,84 mi","-143,23 mi","-441,30 mi","160,18 mi"
"13/11/2025","762,83 mi","-1.808,05 mi","354,36 mi","216,43 mi","474,43 mi"
"12/11/2025","786,34 mi","-911,93 mi","-142,73 mi","122,97 mi","145,34 mi"
"11/11/2025","1.479,25 mi","-655,55 mi","-1.038,11 mi","201,33 mi","13,07 mi"
"10/11/2025","561,81 mi","-514,93 mi","-412,31 mi","325,36 mi","40,08 mi"
"07/11/2025","476,01 mi","-105,51 mi","-540,28 mi","-267,96 mi","437,75 mi"
"06/11/2025","-113,75 mi","-186,83 mi","59,94 mi","322,19 mi","-81,56 mi"
"05/11/2025","396,71 mi","365,63 mi","-822,36 mi","49,33 mi","10,70 mi"
"04/11/2025","-1.035,29 mi","-4.090,75 mi","-149,60 mi","285,30 mi","4.990,35 mi"
"03/11/2025","-714,96 mi","972,53 mi","-220,63 mi","-49,04 mi","12,10 mi"
"31/10/2025","526,37 mi","305,14 mi","-121,79 mi","-694,25 mi","-15,46 mi"
"30/10/2025","-389,47 mi","376,37 mi","-109,00 mi","138,69 mi","-16,59 mi"
"29/10/2025","756,50 mi","-144,53 mi","-227,92 mi","-375,24 mi","-8,81 mi"
"28/10/2025","665,85 mi","-184,70 mi","-202,97 mi","-248,47 mi","-29,71 mi"
"27/10/2025","495,88 mi","-208,74 mi","-245,64 mi","-27,36 mi","-14,14 mi"
"24/10/2025","439,57 mi","-644,46 mi","-45,09 mi","214,48 mi","35,50 mi"
"23/10/2025","3.508,86 mi","-3.230,93 mi","-384,44 mi","107,99 mi","-1,48 mi"
"22/10/2025","-427,12 mi","293,38 mi","-68,78 mi","169,19 mi","33,34 mi"
"21/10/2025","-301,42 mi","111,54 mi","196,30 mi","-55,68 mi","49,26 mi"
"20/10/2025","-242,49 mi","265,89 mi","-193,74 mi","168,33 mi","2,00 mi"
"17/10/2025","-846,84 mi","1.722,20 mi","-174,70 mi","-690,75 mi","-9,91 mi"
"16/10/2025","1.346,23 mi","-1.315,11 mi","278,04 mi","-344,01 mi","34,85 mi"
"15/10/2025","562,93 mi","-756,29 mi","97,27 mi","78,22 mi","17,87 mi"
"14/10/2025","-482,61 mi","410,39 mi","-22,37 mi","61,83 mi","32,76 mi"
"13/10/2025","106,17 mi","-161,35 mi","-143,79 mi","117,12 mi","81,84 mi"
"10/10/2025","-1.975,62 mi","987,87 mi","327,80 mi","584,19 mi","75,77 mi"
